reference,doi,crossref_status,crossref_title,crossref_journal,crossref_year,crossref_volume,crossref_issue,crossref_pages_or_article,crossref_authors,citation_title_match,crossref_type
11,10.1126/science.aao4572,verified,Patient HLA class I genotype influences cancer response to checkpoint blockade immunotherapy,Science,2018,359,6375,582-587,"Chowell, Diego; Morris, Luc G. T.; Grigg, Claud M.; Weber, Jeffrey K.; Samstein, Robert M.; Makarov, Vladimir; Kuo, Fengshen; Kendall, Sviatoslav M.; Requena, David; Riaz, Nadeem; Greenbaum, Benjamin; Carroll, James; Garon, Edward; Hyman, David M.; Zehir, Ahmet; Solit, David; Berger, Michael; Zhou, Ruhong; Rizvi, Naiyer A.; Chan, Timothy A.",True,journal-article
12,10.1038/s41591-019-0639-4,verified,Evolutionary divergence of HLA class I genotype impacts efficacy of cancer immunotherapy,Nature Medicine,2019,25,11,1715-1720,"Chowell, Diego; Krishna, Chirag; Pierini, Federica; Makarov, Vladimir; Rizvi, Naiyer A.; Kuo, Fengshen; Morris, Luc G. T.; Riaz, Nadeem; Lenz, Tobias L.; Chan, Timothy A.",True,journal-article
13,10.1016/j.cell.2021.01.002,verified,Meta-analysis of tumor- and T cell-intrinsic mechanisms of sensitization to checkpoint inhibition,Cell,2021,184,3,596-614.e14,"Litchfield, Kevin; Reading, James L.; Puttick, Clare; Thakkar, Krupa; Abbosh, Chris; Bentham, Robert; Watkins, Thomas B.K.; Rosenthal, Rachel; Biswas, Dhruva; Rowan, Andrew; Lim, Emilia; Al Bakir, Maise; Turati, Virginia; Guerra-Assunção, José Afonso; Conde, Lucia; Furness, Andrew J.S.; Saini, Sunil Kumar; Hadrup, Sine R.; Herrero, Javier; Lee, Se-Hoon; Van Loo, Peter; Enver, Tariq; Larkin, James; Hellmann, Matthew D.; Turajlic, Samra; Quezada, Sergio A.; McGranahan, Nicholas; Swanton, Charles",True,journal-article
14,10.1038/s41587-021-01070-8,verified,Improved prediction of immune checkpoint blockade efficacy across multiple cancer types,Nature Biotechnology,2022,40,4,499-506,"Chowell, Diego; Yoo, Seong-Keun; Valero, Cristina; Pastore, Alessandro; Krishna, Chirag; Lee, Mark; Hoen, Douglas; Shi, Hongyu; Kelly, Daniel W.; Patel, Neal; Makarov, Vladimir; Ma, Xiaoxiao; Vuong, Lynda; Sabio, Erich Y.; Weiss, Kate; Kuo, Fengshen; Lenz, Tobias L.; Samstein, Robert M.; Riaz, Nadeem; Adusumilli, Prasad S.; Balachandran, Vinod P.; Plitas, George; Ari Hakimi, A.; Abdel-Wahab, Omar; Shoushtari, Alexander N.; Postow, Michael A.; Motzer, Robert J.; Ladanyi, Marc; Zehir, Ahmet; Berger, Michael F.; Gönen, Mithat; Morris, Luc G. T.; Weinhold, Nils; Chan, Timothy A.",True,journal-article
15,10.1016/j.ccell.2026.03.003,verified,"Cancer type-specific variation in patterns of driver alterations across 50,000 tumors",Cancer Cell,2026,44,5,1045-1062.e6,"Bandlamudi, Chaitanya; Muldoon, Daniel; de Bruijn, Ino; Zhang, Mingxuan; Gormally, Michael V.; Harrold, Emily C.; Nandakumar, Subhiksha; Smith, Shaleigh A.; Jeng, Mark Y.; Woods, Sydney; Arora, Kanika; Chatila, Walid K.; Nguyen, Bastien; Walch, Henry; Woo, Jun; Bielski, Craig M.; Fong, Christopher; Tran, Thinh N.; Zhao, Gaofei; Mehine, Miika; Perry, Maria A.; Tischfield, Sam E.; Richards, Allison L.; Rajendran, Suraj; Zhang, Hongxin; Kreitzer, Christoph K.; Shah, Ronak; Huq, Risha; Galle, Jesse; Alano, Tina; Madupuri, Ramyasree; Kundra, Ritika; Jee, Justin; Pichotta, Karl; Waters, Michele; Hickman, Richard A.; Dermawan, Josephine K.; Chen, Jie-Fu; Safonov, Anton; Stopsack, Konrad H.; Kotecha, Ritesh R.; Rizvi, Hira A.; Friedman, Claire F.; Razavi, Pedram; Rosen, Ezra; Murciano-Goroff, Yonina R.; Morris, Luc G.T.; Fagin, James A.; Mellinghoff, Ingo K.; Chi, Ping; Shukla, Neerav N.; Schoenfeld, Adam J.; Riely, Gregory J.; Rudin, Charles M.; Drilon, Alexander; Lee, Jake June-Koo; Al-Ahmadie, Hikmat A.; Iyer, Gopa; Varghese, Anna M.; O'Reilly, Eileen M.; Stadler, Zsofia K.; Robson, Mark E.; Reznik, Ed; Gao, JianJiong; Mandelker, Diana; Ostrovnaya, Irina; Rana, Satshil; Jayakumaran, Gowtham; Bowman, Anita; Mohanty, Abhinita; Balakrishnan, Anoop Rema; Syed, Aijazuddin; Ptashkin, Ryan N.; Casanova-Murphy, Jacklyn; Chakravarty, Debyani; Benayed, Ryma; Arcila, Maria E.; Chandarlapaty, Sarat; Yu, Helena A.; Rosen, Neal; Donoghue, Mark T.A.; Klebanoff, Christopher A.; Yaeger, Rona; Brannon, A. Rose; Zehir, Ahmet; Ladanyi, Marc; Schultz, Nikolaus; Solit, David B.; Berger, Michael F.",True,journal-article
16,10.1016/j.cels.2020.06.010,verified,MHCflurry 2.0: Improved Pan-Allele Prediction of MHC Class I-Presented Peptides by Incorporating Antigen Processing,Cell Systems,2020,11,1,42-48.e7,"O’Donnell, Timothy J.; Rubinsteyn, Alex; Laserson, Uri",True,journal-article
17,10.1186/s13073-020-00731-8,verified,Integrative -omics and HLA-ligandomics analysis to identify novel drug targets for ccRCC immunotherapy,Genome Medicine,2020,12,1,32,"Reustle, Anna; Di Marco, Moreno; Meyerhoff, Carolin; Nelde, Annika; Walz, Juliane S.; Winter, Stefan; Kandabarau, Siahei; Büttner, Florian; Haag, Mathias; Backert, Linus; Kowalewski, Daniel J.; Rausch, Steffen; Hennenlotter, Jörg; Stühler, Viktoria; Scharpf, Marcus; Fend, Falko; Stenzl, Arnulf; Rammensee, Hans-Georg; Bedke, Jens; Stevanović, Stefan; Schwab, Matthias; Schaeffeler, Elke",True,journal-article
18,10.1038/s41591-024-02978-9,verified,A spatial architecture-embedding HLA signature to predict clinical response to immunotherapy in renal cell carcinoma,Nature Medicine,2024,30,6,1667-1679,"Kinget, Lisa; Naulaerts, Stefan; Govaerts, Jannes; Vanmeerbeek, Isaure; Sprooten, Jenny; Laureano, Raquel S.; Dubroja, Nikolina; Shankar, Gautam; Bosisio, Francesca M.; Roussel, Eduard; Verbiest, Annelies; Finotello, Francesca; Ausserhofer, Markus; Lambrechts, Diether; Boeckx, Bram; Wozniak, Agnieszka; Boon, Louis; Kerkhofs, Johan; Zucman-Rossi, Jessica; Albersen, Maarten; Baldewijns, Marcella; Beuselinck, Benoit; Garg, Abhishek D.",True,journal-article
19,10.1038/nature12222,verified,Comprehensive molecular characterization of clear cell renal cell carcinoma,Nature,2013,499,7456,43-49,,True,journal-article
20,10.1126/science.aaa4971,verified,Neoantigens in cancer immunotherapy,Science,2015,348,6230,69-74,"Schumacher, Ton N.; Schreiber, Robert D.",True,journal-article
